[cs=0, path=0]
  0.000000, 7799321.683134
  76210.070775, 7850879.530158
  111194.874285, 7875348.402086
  222389.748569, 7987132.085988
  235706.706847, 8004430.671529
  328319.181814, 8155981.442573
  333584.622854, 8166466.273996
  389590.283374, 8305612.091134
  430822.785453, 8453399.117659
  444779.497139, 8533991.228038
  454844.346570, 8599415.522866
  458765.009865, 8743731.035917
  444779.497139, 8871242.524674
  442627.322190, 8886412.324938
  393666.567125, 9027523.191505
  333584.622854, 9119330.742765
  276031.403746, 9167124.750576
  222389.748569, 9198273.816710
  111194.874285, 9214991.730652
  0.000000, 9188577.512896
[cs=0, path=1]
  39918959.868201, 9123975.006891
  39807764.993916, 9059066.665183
  39734236.114690, 9027523.191505
  39696570.119631, 9013024.677813
  39585375.245347, 8982750.169084
  39474180.371062, 8962218.407829
  39362985.496777, 8949724.509679
  39251790.622492, 8944197.374738
  39140595.748208, 8942707.800221
  39029400.873923, 8941330.818725
  38918205.999638, 8935911.033287
  38807011.125354, 8922992.561549
  38695816.251069, 8903836.870499
  38616422.816061, 8886412.324938
  38584621.376784, 8879836.716147
  38473426.502500, 8849739.885147
  38362231.628215, 8812910.538110
  38251036.753930, 8764869.247157
  38210818.706067, 8743731.035917
  38139841.879646, 8713032.987080
  38028647.005361, 8659044.797146
  37925934.390577, 8599415.522866
  37917452.131076, 8595463.956902
  37806257.256792, 8548572.949211
  37695062.382507, 8501653.044111
  37583975.632809, 8453399.117659
  37583867.508222, 8453354.339991
  37472672.633938, 8414256.426189
  37361477.759653, 8373040.633664
  37250282.885368, 8328768.835431
  37193361.722816, 8305612.091134
  37139088.011084, 8281979.019257
  37027893.136799, 8234203.226565
  36916698.262514, 8193765.665899
  36805503.388229, 8164559.591151
  36756090.338066, 8155981.442573
  36694308.513945, 8143646.351024
  36583113.639660, 8129221.974899
  36471918.765375, 8119848.553454
  36360723.891091, 8112167.383660
  36249529.016806, 8103590.616195
  36138334.142521, 8094275.898830
  36027139.268237, 8083127.715555
  35915944.393952, 8069847.159699
  35804749.519667, 8058933.020150
  35693554.645383, 8054051.729872
  35582359.771098, 8056161.330923
  35471164.896813, 8065743.399181
  35359970.022529, 8082125.554054
  35248775.148244, 8104079.868209
  35137580.273959, 8130974.159872
  35053386.217570, 8155981.442573
  35026385.399675, 8162580.013483
  34915190.525390, 8197325.798672
  34803995.651105, 8244325.488897
  34694706.804911, 8305612.091134
  34692800.776821, 8306672.515744
  34581605.902536, 8376142.349563
  34482271.002668, 8453399.117659
  34470411.028251, 8463944.980571
  34359216.153966, 8573399.911099
  34334985.042487, 8599415.522866
  34248021.279682, 8713354.574876
  34226454.661903, 8743731.035917
  34149383.398576, 8886412.324938
  34136826.405397, 8914607.535520
  34090174.068633, 9027523.191505
  34046316.120038, 9167124.750576
  34025631.531112, 9241469.818885
  34008018.807197, 9305275.597182
  33956563.494821, 9442031.961031
  33914436.656828, 9518385.253153
  33877467.531755, 9577447.850107
  33803241.782543, 9672844.726855
  33765933.593788, 9711575.184206
  33692046.908258, 9784141.102639
  33614458.890945, 9844463.919260
  33580852.033974, 9870474.132336
  33469657.159689, 9944019.861490
  33422040.433040, 9976162.163241
  33358462.285404, 10016079.369126
  33247267.411120, 10084783.143500
  33216464.688530, 10106716.284329
  33136072.536835, 10157101.219190
  33026446.721688, 10236171.011992
  33024877.662550, 10237255.883838
  32913682.788266, 10307024.339169
  32807438.458242, 10364569.531544
  32802487.913981, 10368446.995907
  32691293.039696, 10434309.618008
  32580098.165412, 10481177.119529
  32551767.683886, 10491953.572712
  32468903.291127, 10583139.279549
  32430848.615862, 10618363.492693
  32411876.977747, 10743838.354115
